瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),捞浇痢柯档(∑C),泅瘤扁拘(hPa),秦搁扁拘(hPa),老炼(hr),老荤(MJ/m2),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C)
131,没林,2022-01-01 01:00,-6.9,,.8,200,52,-15.1,1025.8,1033.5,,,3890,,,-4.7
131,没林,2022-01-01 02:00,-6.6,,1.2,270,45,-16.5,1026.2,1033.9,,,4125,,,-5
131,没林,2022-01-01 03:00,-7.1,,1,180,48,-16.2,1026.2,1033.9,,,4018,,,-5.2
131,没林,2022-01-01 04:00,-7.7,,.8,140,53,-15.6,1025.6,1033.4,,,3529,,,-5.4
131,没林,2022-01-01 05:00,-9.2,,.7,320,61,-15.3,1025.5,1033.3,,,1952,,,-5.7
131,没林,2022-01-01 06:00,-9.7,,.5,360,62,-15.6,1025,1032.8,,,1960,,,-5.9
131,没林,2022-01-01 07:00,-9.7,,.4,0,65,-15,1025.6,1033.4,,,1604,,,-6
131,没林,2022-01-01 08:00,-9.7,,.1,0,60,-16,1025.8,1033.6,0,0,1868,,,-5.9
131,没林,2022-01-01 09:00,-8.2,,.6,160,58,-15,1025.9,1033.7,.9,.2,2348,,,-2.8
131,没林,2022-01-01 10:00,-6.5,,.2,0,55,-14,1026.2,1033.9,1,.85,1448,,,0
131,没林,2022-01-01 11:00,-4.7,,1,250,40,-16.2,1026.2,1033.9,1,1.41,2058,,,3.1
131,没林,2022-01-01 12:00,-3.1,,1.4,180,37,-15.7,1025.2,1032.8,1,1.8,2330,,,1.2
131,没林,2022-01-01 13:00,-2.1,,1.1,110,35,-15.5,1024.1,1031.7,1,1.41,2525,,,3.1
131,没林,2022-01-01 14:00,-.4,,1.1,50,29,-16.3,1022.9,1030.4,1,1.63,3474,,,5.9
131,没林,2022-01-01 15:00,.2,,.9,20,29,-15.7,1022.2,1029.7,1,.98,3458,,,4
131,没林,2022-01-01 16:00,.5,,1.1,270,32,-14.3,1022,1029.5,1,1.02,3136,,,1.6
131,没林,2022-01-01 17:00,0,,1,20,35,-13.6,1021.9,1029.4,.7,.22,3069,,,-.7
131,没林,2022-01-01 18:00,-.9,,.6,70,37,-13.7,1022.1,1029.6,0,0,2975,,,-1.2
131,没林,2022-01-01 19:00,-1.3,,.7,50,40,-13.1,1022,1029.5,,,2999,,,-1.7
131,没林,2022-01-01 20:00,-1.8,,.4,0,42,-13,1021.6,1029.1,,,2057,,,-1.9
131,没林,2022-01-01 21:00,-2.4,,.5,290,45,-12.7,1021.6,1029.2,,,1865,,,-2.3
131,没林,2022-01-01 22:00,-3,,.3,0,48,-12.4,1021.4,1029,,,2028,,,-2.8
131,没林,2022-01-01 23:00,-3.5,,.3,0,52,-11.9,1021.2,1028.8,,,1901,,,-3
131,没林,2022-01-02 00:00,-4.5,,.2,0,57,-11.7,1021.2,1028.8,,,1676,,,-2.8
131,没林,2022-01-02 01:00,-4.3,,.3,0,57,-11.5,1020.7,1028.3,,,1614,,,-3.3
131,没林,2022-01-02 02:00,-4.7,,.7,200,57,-11.9,1020.2,1027.8,,,1912,,,-3.8
131,没林,2022-01-02 03:00,-4.9,,.7,140,58,-11.9,1019.5,1027.1,,,1953,,,-4
131,没林,2022-01-02 04:00,-5.6,,.3,0,63,-11.5,1018.8,1026.4,,,1684,,,-4.2
131,没林,2022-01-02 05:00,-5.4,,.1,0,67,-10.5,1018.3,1025.9,,,1231,,,-2.8
131,没林,2022-01-02 06:00,-4.5,,1,320,63,-10.4,1018.5,1026.1,,,1326,,,-2.3
131,没林,2022-01-02 07:00,-3.8,,.4,0,65,-9.4,1018.8,1026.4,,,1387,,,-2
131,没林,2022-01-02 08:00,-3.5,,.9,180,65,-9.1,1018.9,1026.5,0,0,1647,,,-2.2
131,没林,2022-01-02 09:00,-2.8,,1,270,63,-8.8,1019.4,1027,0,0,1807,,,-1.4
131,没林,2022-01-02 10:00,-1.9,,1.6,180,59,-8.8,1020.1,1027.6,0,.09,1825,,,-.5
131,没林,2022-01-02 11:00,.2,,1.1,200,54,-8,1020.3,1027.8,.5,.72,2103,,,1.2
131,没林,2022-01-02 12:00,3,,.8,250,50,-6.4,1019.6,1027,1,1.47,1587,,,2.4
131,没林,2022-01-02 13:00,4.8,,1.4,320,54,-3.7,1018.7,1026,1,1.64,1100,,,6.1
