瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),捞浇痢柯档(∑C),泅瘤扁拘(hPa),秦搁扁拘(hPa),老炼(hr),老荤(MJ/m2),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C)
131,没林,2020-01-01 01:00,-6.6,,1.3,200,64,-12.2,1027.3,1034.8,,,2042,,,-3.5
131,没林,2020-01-01 02:00,-6.9,,1.5,140,68,-11.8,1026.4,1033.9,,,1871,,,-3
131,没林,2020-01-01 03:00,-6.5,,1.4,140,67,-11.6,1026.5,1034,,,1825,,,-2.6
131,没林,2020-01-01 04:00,-5.7,,.8,140,67,-10.8,1026.4,1033.9,,,1962,,,-2.3
131,没林,2020-01-01 05:00,-5.4,,.8,160,66,-10.7,1026.2,1033.7,,,2000,,05,-2
131,没林,2020-01-01 06:00,-5,0,.3,0,67,-10.1,1026.3,1033.8,,,2000,,05,-2
131,没林,2020-01-01 07:00,-4.9,,1.1,160,68,-9.9,1026.3,1033.8,,,1760,,,-2.1
131,没林,2020-01-01 08:00,-4.5,,.9,180,69,-9.3,1026.4,1033.9,0,0,1658,,,-1.8
131,没林,2020-01-01 09:00,-4,,.4,0,70,-8.6,1026.8,1034.3,0,.02,1393,,,-1.3
131,没林,2020-01-01 10:00,-3.5,,.7,140,69,-8.3,1027.1,1034.5,0,.28,1383,,,-.4
131,没林,2020-01-01 11:00,-2.3,,.3,0,66,-7.8,1026.7,1034.1,0,.69,1801,,,0
131,没林,2020-01-01 12:00,-1.3,,.3,0,67,-6.6,1025.8,1033.2,.1,.85,1304,,,1
131,没林,2020-01-01 13:00,.6,,.6,250,61,-6,1025,1032.3,.3,1.14,1775,,,1.2
131,没林,2020-01-01 14:00,1,,1.7,50,62,-5.4,1024.3,1031.6,0,.61,1333,,,1.2
131,没林,2020-01-01 15:00,.3,,.7,360,70,-4.5,1024.6,1031.9,0,.64,1017,,,1.1
131,没林,2020-01-01 16:00,.6,,.6,20,70,-4.2,1025.1,1032.4,0,.3,1050,,,.5
131,没林,2020-01-01 17:00,.3,,0,0,72,-4.1,1025.1,1032.4,0,.12,1050,,,-.2
131,没林,2020-01-01 18:00,.1,,.1,0,76,-3.6,1025.2,1032.5,0,.02,869,,19,0
131,没林,2020-01-01 19:00,.1,,0,0,79,-3.1,1025,1032.3,,,761,,19,0
131,没林,2020-01-01 20:00,0,,.2,0,80,-3,1024.8,1032.1,,,714,,19,0
131,没林,2020-01-01 21:00,-.4,,.2,0,81,-3.2,1024.5,1031.8,,,605,,19,0
131,没林,2020-01-01 22:00,-.4,,.2,0,81,-3.2,1024.7,1032,,,620,,19,0
131,没林,2020-01-01 23:00,-.3,,.3,0,80,-3.3,1025,1032.3,,,652,,19,0
131,没林,2020-01-02 00:00,-.4,,.8,50,81,-3.2,1024.5,1031.8,,,595,,19,0
131,没林,2020-01-02 01:00,-.5,,0,0,82,-3.2,1024,1031.3,,,564,,19,0
131,没林,2020-01-02 02:00,-.7,,0,0,83,-3.2,1023.6,1030.9,,,537,,19,0
131,没林,2020-01-02 03:00,-.9,,.2,0,84,-3.2,1023.6,1030.9,,,527,,19,0
131,没林,2020-01-02 04:00,-.7,,0,0,81,-3.5,1023.7,1031,,,670,,19,-.1
131,没林,2020-01-02 05:00,-.3,,.9,230,83,-2.8,1023.2,1030.5,,,594,,19,-.2
131,没林,2020-01-02 06:00,-.5,,0,0,84,-2.8,1023.5,1030.8,,,553,,19,-.2
131,没林,2020-01-02 07:00,-.4,,0,0,83,-2.9,1023.8,1031.1,,,537,,19,-.2
131,没林,2020-01-02 08:00,0,,0,0,84,-2.3,1024,1031.3,0,0,585,,19,-.2
131,没林,2020-01-02 09:00,.6,,0,0,80,-2.4,1024.6,1031.9,0,.05,675,,19,0
131,没林,2020-01-02 10:00,.8,,0,0,78,-2.6,1024.5,1031.8,0,.15,650,,19,0
131,没林,2020-01-02 11:00,1.5,,0,0,77,-2.1,1024.4,1031.7,0,.41,524,,19,.1
131,没林,2020-01-02 12:00,1.8,,0,0,74,-2.3,1023.6,1030.9,0,.34,595,,19,.6
131,没林,2020-01-02 13:00,2.5,,0,0,67,-3,1022.2,1029.4,0,.39,740,,4019,3
131,没林,2020-01-02 14:00,3,,0,0,68,-2.3,1022.1,1029.3,0,.43,663,,40,3.7
131,没林,2020-01-02 15:00,3.4,,.5,250,67,-2.1,1022.2,1029.4,0,.25,668,,40,3.2
131,没林,2020-01-02 16:00,3.4,,0,0,66,-2.3,1022.3,1029.5,0,.11,675,,40,2.5
131,没林,2020-01-02 17:00,3.2,,0,0,68,-2.1,1022.2,1029.4,0,.03,567,,40,2
131,没林,2020-01-02 18:00,3.2,,0,0,68,-2.1,1021.7,1028.9,0,0,584,,40,1.7
131,没林,2020-01-02 19:00,3.5,,0,0,69,-1.6,1021.6,1028.8,,,555,,40,1.6
131,没林,2020-01-02 20:00,2.8,,0,0,73,-1.5,1022,1029.2,,,487,,40,1.5
131,没林,2020-01-02 21:00,2.7,,0,0,74,-1.4,1022.3,1029.5,,,418,,40,1.2
131,没林,2020-01-02 22:00,2.5,,0,0,73,-1.8,1022.6,1029.8,,,493,,40,1.2
131,没林,2020-01-02 23:00,2.7,,.6,250,73,-1.6,1022.4,1029.6,,,488,,40,.8
131,没林,2020-01-03 00:00,2.6,,0,0,74,-1.5,1021.7,1028.9,,,446,,40,.6
131,没林,2020-01-03 01:00,1.7,,0,0,80,-1.3,1021.5,1028.8,,,360,,4019,.3
131,没林,2020-01-03 02:00,.6,,0,0,84,-1.7,1021.4,1028.7,,,309,,19,.3
131,没林,2020-01-03 03:00,1,,0,0,84,-1.4,1021.5,1028.8,,,367,,19,.3
131,没林,2020-01-03 04:00,1,,0,0,83,-1.5,1021.6,1028.9,,,304,,19,.2
131,没林,2020-01-03 05:00,.6,,0,0,84,-1.7,1020.9,1028.2,,,371,,19,.1
131,没林,2020-01-03 06:00,.3,,0,0,85,-1.9,1021,1028.3,,,324,,19,-.4
131,没林,2020-01-03 07:00,-.1,,0,0,86,-2.1,1021.1,1028.4,,,294,,19,-.9
131,没林,2020-01-03 08:00,-.2,,0,0,87,-2.1,1021,1028.3,0,0,254,,19,-1.2
131,没林,2020-01-03 09:00,.1,,.6,250,84,-2.2,1021.4,1028.7,0,.17,299,,19,-.5
131,没林,2020-01-03 10:00,1.1,,.4,0,80,-1.9,1022.4,1029.7,.5,.51,285,,19,0
131,没林,2020-01-03 11:00,2.4,,.4,0,75,-1.5,1021.5,1028.7,.2,.79,297,,19,.1
131,没林,2020-01-03 12:00,3.6,,1.4,270,68,-1.7,1021.3,1028.5,.2,.84,358,,4019,5
131,没林,2020-01-03 13:00,4.5,,2.8,290,61,-2.3,1020.1,1027.3,.8,1.49,510,,40,9
131,没林,2020-01-03 14:00,5,,2.2,290,56,-3,1019.3,1026.5,1,1.54,547,,40,9.8
131,没林,2020-01-03 15:00,5.5,,1.7,290,52,-3.5,1018.8,1025.9,1,1.33,695,,40,9.3
131,没林,2020-01-03 16:00,5.6,,1.9,290,48,-4.5,1019.1,1026.2,1,.86,678,,40,6.7
131,没林,2020-01-03 17:00,4.6,,1.7,290,51,-4.6,1019.1,1026.2,.7,.33,715,,40,2.9
131,没林,2020-01-03 18:00,3.5,,.9,320,52,-5.4,1019.6,1026.8,0,0,617,,40,.6
131,没林,2020-01-03 19:00,3,,.8,290,52,-5.9,1020.1,1027.3,,,935,,40,0
131,没林,2020-01-03 20:00,2.2,,.3,0,57,-5.4,1020,1027.2,,,1082,,40,.4
131,没林,2020-01-03 21:00,1.5,,.1,0,59,-5.6,1020.1,1027.3,,,1135,,,0
131,没林,2020-01-03 22:00,1,,0,0,62,-5.4,1019.8,1027.1,,,1050,,,-.9
131,没林,2020-01-03 23:00,.6,,0,0,65,-5.2,1019.9,1027.2,,,1100,,,-1.3
131,没林,2020-01-04 00:00,-.2,,0,0,70,-5,1019.3,1026.6,,,1050,,,-1.7
131,没林,2020-01-04 01:00,-.9,,0,0,73,-5.1,1019.1,1026.4,,,725,,19,-1.8
131,没林,2020-01-04 02:00,-1.3,,.6,140,74,-5.3,1019,1026.3,,,676,,19,-2
131,没林,2020-01-04 03:00,-1.6,,.4,0,76,-5.2,1019.7,1027,,,647,,19,-2.3
131,没林,2020-01-04 04:00,-2.1,,.6,160,78,-5.4,1019.2,1026.5,,,566,,19,-2.3
131,没林,2020-01-04 05:00,-2.3,,0,0,78,-5.6,1018.8,1026.1,,,572,,19,-2.5
131,没林,2020-01-04 06:00,-2.8,,0,0,84,-5.1,1018.9,1026.3,,,417,,19,-2.5
131,没林,2020-01-04 07:00,-3.5,,0,0,86,-5.5,1019,1026.4,,,342,,19,-2.5
131,没林,2020-01-04 08:00,-2.4,,0,0,82,-5,1018.8,1026.1,0,0,431,,19,-1.8
131,没林,2020-01-04 09:00,-1.8,,0,0,78,-5.1,1019.6,1026.9,.1,.25,461,,19,-.7
131,没林,2020-01-04 10:00,-1.4,,.5,270,82,-4,1020,1027.3,0,.26,331,,19,-.2
131,没林,2020-01-04 11:00,.1,,.2,0,77,-3.4,1019.8,1027.1,0,.42,386,,19,0
131,没林,2020-01-04 12:00,2.4,,.4,0,68,-2.9,1018.9,1026.1,.7,1.28,477,,4019,1.7
131,没林,2020-01-04 13:00,4.5,,1.3,230,65,-1.5,1018.6,1025.7,.5,1.33,549,,40,4.4
131,没林,2020-01-04 14:00,5.5,,1.4,180,60,-1.6,1018,1025.1,1,1.59,674,,40,8.7
131,没林,2020-01-04 15:00,6.7,,1.9,250,55,-1.7,1017.9,1025,1,1.25,750,,40,8.6
131,没林,2020-01-04 16:00,7,,1.6,290,43,-4.7,1018.1,1025.2,1,.81,1050,,40,6.5
131,没林,2020-01-04 17:00,6.4,,1.6,290,41,-5.9,1018.6,1025.7,.7,.34,1237,,,2.7
131,没林,2020-01-04 18:00,4.9,,1.2,290,49,-4.9,1019,1026.2,0,0,1100,,,.3
131,没林,2020-01-04 19:00,4.1,,1.2,290,49,-5.6,1019.6,1026.8,,,1010,,,.3
131,没林,2020-01-04 20:00,3.9,,2.6,290,56,-4,1019.9,1027.1,,,1050,,,.3
131,没林,2020-01-04 21:00,2.9,,.7,270,61,-3.8,1020.5,1027.7,,,1050,,,.1
